  191.0  4.27820e-18
  192.0  4.36053e-18
  193.0  4.66314e-18
  194.0  4.67256e-18
  195.0  4.59718e-18
  196.0  4.56908e-18
  197.0  4.38722e-18
  198.0  4.24003e-18
  199.0  4.08347e-18
  200.0  3.93490e-18
  201.0  3.76105e-18
  202.0  3.54862e-18
  203.0  3.39604e-18
  204.0  3.25749e-18
  205.0  3.11543e-18
  206.0  2.98067e-18
  207.0  2.86445e-18
  208.0  2.74342e-18
  209.0  2.64105e-18
  210.0  2.53259e-18
  211.0  2.44504e-18
  212.0  2.35830e-18
  213.0  2.24894e-18
  214.0  2.16106e-18
  215.0  2.03866e-18
  216.0  1.95322e-18
  217.0  1.85951e-18
  218.0  1.73787e-18
  219.0  1.63944e-18
  220.0  1.51689e-18
  221.0  1.41633e-18
  222.0  1.30373e-18
  223.0  1.17876e-18
  224.0  1.09296e-18
  225.0  9.77300e-19
  226.0  8.88807e-19
  227.0  8.03295e-19
  228.0  7.08854e-19
  229.0  6.50585e-19
  230.0  5.71986e-19
  231.0  5.00153e-19
  232.0  4.54589e-19
  233.0  3.99224e-19
  234.0  3.47993e-19
  235.0  3.12376e-19
  236.0  2.72625e-19
  237.0  2.36851e-19
  238.0  2.10493e-19
  239.0  1.87255e-19
  240.0  1.61959e-19
  241.0  1.42112e-19
  242.0  1.26883e-19
  243.0  1.10476e-19
  244.0  9.67057e-20
  245.0  8.46308e-20
  246.0  7.52083e-20
  247.0  6.55813e-20
  248.0  5.72138e-20
  249.0  4.99209e-20
  250.0  4.41612e-20
  251.0  3.88806e-20
  252.0  3.35906e-20
  253.0  2.91336e-20
  254.0  2.62195e-20
  255.0  2.27154e-20
  256.0  1.91711e-20
  257.0  1.63888e-20
  258.0  1.47802e-20
  259.0  1.27243e-20
  260.0  1.05634e-20
  261.0  9.00615e-21
  262.0  8.26523e-21
  263.0  7.09547e-21
  264.0  5.85447e-21
  265.0  4.91405e-21
  266.0  4.52061e-21
  267.0  3.97800e-21
  268.0  3.26295e-21
  269.0  2.70251e-21
  270.0  2.37774e-21
  271.0  2.21853e-21
  272.0  1.85187e-21
  273.0  1.53352e-21
  274.0  1.30206e-21
  275.0  1.20466e-21
  276.0  1.08159e-21
  277.0  8.98437e-22
  278.0  7.52092e-22
  279.0  6.58215e-22
  280.0  6.27710e-22
  281.0  5.43509e-22
  282.0  4.51755e-22
  283.0  3.99578e-22
  284.0  3.49061e-22
  285.0  3.23023e-22
  286.0  2.75205e-22
  287.0  2.30394e-22
  288.0  2.08070e-22
  289.0  1.84003e-22
  290.0  1.57283e-22
